일시,정부 쌀 매입 실적,실적 + 추가 매입량,연간 생산량,시장 공급량,,국제유가,국제유가 WTI,단경기,수확기,지출금액,정부 미곡80,정부 미곡20,원자료,평균,폭염일수,gdp
1996,720000,1241000,5322962,4602962,4081962,18.56,25.35,40817.66667,35414,49191,131770,32942.5,25.35,36314,16.8,120285.2
1997,720000,1224000,5449561,4729561,4225561,18.13,17.43,42607.66667,39012,49113,131770,32942.5,17.43,38045,12.8,132586.775
1998,558000,928000,5096879,4538879,4168879,12.19,11.8,44692,42904.66667,45769,139020,34755,11.8,41560,2.6,131119.175
1999,505800,876000,5262700,4756900,4386700,17.24,25.73,44990.66667,44805,52423,145970,36492.5,25.73,42615,5.6,144218.2
2000,456000,906000,5290771,4834771,4384771,26.12,26.8,45280,44862.66667,51946,154000,38500,26.8,41826,12.4,162908.575
2001,416000,829000,5514796,5098796,4685796,22.84,19.84,45138,44701.33333,52059,160160,40040,19.84,41469,12.7,176755.325
2002,397000,791000,4926746,4529746,4135746,23.88,31.2,46009,45904.66667,49841,160160,40040,31.2,42368,5.9,196185.325
2003,472000,751000,4451135,3979135,3700135,26.8,32.52,48040.66667,47770.33333,50292,160160,40040,32.52,42715,1.6,209341.275
2004,481000,711000,5000149,4519149,4289149,33.77,43.45,46183,47804,54119,160160,40040,43.45,39012,16,227109.825
2005,576000,720000,4768368,4192368,4048368,49.37,61.13,43299.33333,44843.33333,52149,140245,35061.25,61.13,36989,10.6,239361.95
2006,504000,504000,4679991,4175991,4175991,61.55,61.05,43723.66667,43578.33333,50188,148075,37018.75,61.05,38632,14.4,251400.375
2007,418000,417000,4407743,3989743,3990743,68.43,96,45559.33333,43288.33333,50472,150196,37549,96,40667,9.8,272415.05
2008,400000,500000,4843478,4443478,4343478,94.29,44.6,44171.33333,46269.66667,56751,162416,40604,44.6,38244,12.5,288554.15
2009,370000,937000,4916080,4546080,3979080,61.7,79.36,40915.66667,42892.33333,55680,142852,35713,79.36,33390,4.2,301336.95
2010,351000,437000,4295413,3944413,3858413,78.08,91.38,44253.33333,40544.33333,54797,137416,34354,91.38,38820,13.9,330652.8
2011,261000,261000,4224019,3963019,3963019,105.87,98.83,43493,44372,59070,166068,41517,98.83,42304,7.5,347234.3
2012,363000,363000,4006185,3643185,3643185,109.03,92.38,46769.33333,45794.33333,60461,173692,43423,92.38,44151,15,360027.825
2013,368000,368000,4230011,3862011,3862011,105.25,98.55,44956.33333,46831,61951,175280,43820,98.55,42664,18.5,375204.8
2014,370000,610000,4240739,3870739,3630739,96.56,53.22,44560.33333,46028,61171,167347,41836.75,53.22,39719,7.4,390732.25
2015,360000,717000,4326915,3966915,3609915,50.69,37.04,39639,43986.66667,59273,152158,38039.5,37.04,34930,10.1,414505.125
2016,360000,659000,4196691,3836691,3537691,41.41,43.47,36119.33333,37025.66667,56245,129807,32451.75,43.47,33569,22.4,435194.875
2017,340000,710000,3972468,3632468,3262468,53.18,50.85,48794,42268.33333,56536,153213,38303.25,50.85,45412,14.4,458924.525
2018,340000,340000,3868045,3528045,3528045,69.66,64.9,51901.33333,53448.33333,60525,193568,48392,64.9,48630,31.5,473374.275
,,,,,,,,,,,,,,,,
